Sex,Marital,Age,Income,JobType,Occupation,BorrowingRatio,CreditAppAmount,OtherDebts,DebtRestruct,Industry,Education,Dependents,OwnHouse,Foreigner,Phone,EmploymentYears,Guarantor,Collateral,PredictedProbability,Actual
1,0,59,6020000,3,0,0.0,2260000,0,0,0,4,3,1,0,1,31,0,1,0.01641496767656523,0
0,0,29,4300000,3,4,0.29,1560000,1260000,0,3,3,0,0,0,1,11,1,1,0.014557793330441209,0
1,1,49,2610000,2,8,0.15,2120000,380000,0,6,4,1,1,0,0,19,1,0,0.7349892306734106,0
1,1,33,5240000,3,0,0.09,4690000,460000,0,0,3,3,0,0,1,0,0,0,0.01854908343787534,0
0,1,47,2640000,2,8,0.11,3810000,280000,0,6,1,2,0,0,1,9,0,0,0.16576377144413,0
0,1,26,2630000,3,2,0.0,1700000,0,0,2,2,3,0,0,1,7,1,0,0.05335115101211383,0
0,1,49,4810000,2,5,0.0,1310000,0,0,2,3,0,1,0,0,20,0,1,0.02034776090489818,0
1,1,61,3700000,3,4,0.0,3970000,0,0,3,4,0,0,0,1,24,1,0,0.036041649510032345,0
0,1,45,3940000,3,2,0.0,3820000,0,0,2,2,0,0,0,1,9,0,1,0.027198869224050386,0
1,1,28,5440000,1,10,0.19,4760000,1040000,0,4,3,3,1,0,0,3,0,1,0.06354431705059888,0
1,1,32,5600000,1,3,0.0,3310000,0,0,5,3,2,1,0,1,4,0,1,0.015717839419621942,0
0,1,58,3980000,2,5,0.43,1770000,1700000,0,2,3,3,0,0,0,1,0,0,0.269727512840525,1
0,0,38,3030000,3,4,0.49,4600000,1480000,0,3,2,1,0,0,1,19,1,1,0.5008968805005439,0
1,1,55,780000,5,7,0.0,920000,0,0,1,2,1,1,0,0,17,1,0,0.637082747937095,0
1,1,26,3430000,2,9,0.31,2840000,1060000,0,3,2,0,1,0,0,7,1,0,0.17044775628124276,0
0,1,56,7990000,3,0,0.15,1420000,1220000,0,0,3,2,0,0,0,14,0,1,0.03148762547227472,0
1,1,41,6860000,1,3,0.31,2770000,2110000,0,5,2,2,0,1,0,15,1,0,0.1643267915138191,0
1,1,37,4190000,3,2,0.13,2300000,550000,0,2,2,1,1,0,1,0,0,1,0.022644774582734725,0
0,1,40,4690000,2,8,0.0,2900000,0,0,6,4,3,0,0,1,13,1,0,0.022505915309683194,0
1,1,61,4030000,1,3,0.3,2920000,1220000,0,5,4,2,0,0,0,4,1,1,0.03955435651476961,0
1,1,36,4990000,3,4,0.0,470000,0,0,3,3,1,0,0,1,11,0,0,0.013723199622352552,0
1,1,64,3990000,3,4,0.29,1020000,1170000,0,3,2,3,0,0,1,33,0,1,0.024402119551351718,0
1,1,58,4310000,3,4,0.42,4080000,1820000,0,3,3,2,0,0,1,39,1,1,0.06637598184140527,0
0,1,57,2440000,4,1,0.38,1380000,920000,0,7,3,1,1,0,0,1,0,1,0.16466672517460898,0
1,0,36,4300000,1,10,0.0,4180000,0,0,4,1,0,1,0,1,5,1,0,0.022828866144931157,0
0,1,45,6300000,3,0,0.31,1030000,1940000,0,0,3,3,0,0,0,24,1,0,0.06387924229519325,0
0,0,29,3910000,2,9,0.0,530000,0,0,3,2,3,0,0,0,4,0,1,0.04356673983594003,0
0,1,62,3050000,3,4,0.31,720000,960000,0,3,4,2,1,0,0,17,0,0,0.09504351084306294,0
1,1,33,6440000,1,10,0.0,2320000,0,0,4,3,3,1,0,1,4,1,0,0.014972185223273588,0
1,1,62,5240000,3,0,0.39,4410000,2060000,0,0,2,3,1,0,0,2,0,1,0.27967525269624605,0
1,1,38,4380000,2,8,0.16,4640000,700000,0,6,3,3,0,0,1,13,1,0,0.023403338409947044,0
1,1,26,3140000,2,9,0.19,770000,590000,0,3,1,2,0,0,0,2,1,1,0.11130455530984251,0
1,0,35,3920000,4,1,0.0,1970000,0,0,7,2,2,1,0,0,4,1,0,0.028905563766866788,0
1,0,47,4720000,2,9,0.17,1570000,780000,0,3,3,3,0,0,1,20,1,0,0.02593666365363274,0
1,1,54,3800000,2,9,0.25,4940000,940000,0,3,3,1,0,0,1,33,1,1,0.012508902797657344,0
0,1,34,3740000,3,2,0.49,530000,1840000,0,2,1,2,0,0,1,3,1,1,0.2807625041310487,0
1,0,54,5380000,3,0,0.0,3380000,0,0,0,2,1,0,0,1,27,1,1,0.014306238846417914,0
0,1,48,4780000,3,4,0.17,2850000,790000,0,3,1,0,0,0,0,8,1,0,0.028443148571084882,0
0,1,46,3590000,2,9,0.21,1980000,740000,0,3,3,2,0,0,0,13,0,1,0.07780162083594219,0
1,1,41,4890000,1,10,0.42,2580000,2070000,1,4,2,3,1,0,1,23,1,0,0.9496043991465104,1
0,1,49,3830000,2,8,0.0,1640000,0,0,6,1,2,0,0,0,1,1,0,0.24221564934172074,0
0,1,62,2770000,2,5,0.49,4480000,1370000,0,2,3,0,1,1,1,1,1,1,0.2902020065815715,1
1,0,35,6190000,3,0,0.12,2870000,770000,0,0,1,0,0,0,0,1,0,0,0.02010658496299956,0
1,0,33,3060000,4,1,0.45,310000,1370000,0,7,4,2,0,0,1,9,1,0,0.05102059012673712,0
1,1,32,3850000,4,1,0.0,2760000,0,0,7,3,3,1,0,1,2,1,1,0.050046075929643365,0
1,1,28,2160000,4,1,0.5,4560000,1070000,0,7,3,1,1,0,0,0,1,0,0.33801238317880244,0
0,1,29,5190000,1,3,0.2,3560000,1040000,0,5,1,3,1,0,0,5,1,0,0.024169894540182167,0
0,0,53,2550000,2,8,0.29,620000,730000,0,6,3,3,0,0,0,28,1,0,0.2468653913091551,1
1,1,44,3800000,3,4,0.0,3780000,0,0,3,3,0,1,0,1,21,0,0,0.032202341054278646,0
1,1,59,3110000,2,8,0.0,4930000,0,0,6,2,2,1,0,1,25,0,0,0.015857808024729445,0
1,0,55,7960000,3,0,0.0,450000,0,0,0,1,3,0,0,0,24,1,1,0.015371169414137771,0
0,1,55,4850000,2,5,0.0,2490000,0,0,2,3,0,0,0,0,29,0,1,0.017478941606238703,0
1,1,51,6040000,1,3,0.3,4530000,1840000,0,5,4,0,1,0,1,4,0,1,0.03962346890049724,0
0,1,44,6570000,1,10,0.34,2430000,2210000,0,4,1,3,0,0,1,8,0,1,0.2102980662155377,0
1,1,27,2780000,4,1,0.0,1390000,0,0,7,3,0,1,0,0,8,0,1,0.2153838370969164,1
1,1,52,3450000,4,1,0.21,3210000,740000,0,7,3,2,1,0,1,10,1,0,0.03588547480082609,0
0,1,39,3820000,3,2,0.35,1290000,1340000,0,2,4,1,0,0,0,10,0,1,0.17122621833529564,0
1,1,36,3260000,2,8,0.0,850000,0,0,6,2,1,1,1,0,8,1,1,0.0712336826845417,0
0,1,51,7130000,3,0,0.13,2340000,930000,0,0,4,0,1,0,1,7,0,0,0.020530638295412813,0
1,1,64,5060000,1,10,0.08,4890000,420000,0,4,1,1,0,1,0,11,0,1,0.017184542273856133,0
1,1,34,2940000,4,1,0.0,570000,0,0,7,2,1,0,0,0,4,1,1,0.09491208484414958,0
0,1,48,4070000,1,3,0.4,1570000,1640000,0,5,4,1,0,0,1,18,1,1,0.05796294752197197,0
0,1,57,2760000,4,1,0.0,1680000,0,0,7,1,2,1,0,1,30,1,0,0.22997116779979482,0
0,1,63,3590000,4,1,0.0,3430000,0,0,7,2,0,1,0,1,23,0,0,0.0700867369760918,0
1,1,45,6690000,1,10,0.25,2890000,1650000,0,4,4,0,1,0,0,8,1,0,0.022604645061904446,0
0,1,34,5520000,3,0,0.0,3200000,0,0,0,4,2,1,0,0,16,0,1,0.020408703791247356,0
0,1,26,240000,5,7,0.0,1200000,0,0,1,3,1,1,0,0,8,0,0,0.3614690638609958,1
1,1,38,2190000,4,6,0.28,1090000,620000,0,2,2,2,1,0,1,9,0,0,0.3156520830331453,0
0,0,53,4650000,1,10,0.47,4140000,2170000,0,4,4,3,1,0,0,5,1,0,0.45212141717277665,0
1,1,45,3330000,2,9,0.18,3790000,600000,0,3,1,0,1,0,0,17,0,0,0.07978751881681359,0
1,0,27,3950000,2,9,0.31,1930000,1240000,0,3,4,1,1,0,0,7,1,0,0.05436337265802006,0
0,0,55,4450000,2,9,0.0,1790000,0,0,3,1,3,1,0,0,19,1,0,0.02044385697773859,0
1,1,51,6620000,3,0,0.22,3120000,1480000,0,0,1,3,1,0,0,5,0,0,0.04244334689365722,0
0,1,51,2190000,4,1,0.0,4330000,0,0,7,1,0,1,0,0,29,1,1,0.6252699819962257,0
1,0,41,2440000,4,1,0.05,360000,120000,0,7,1,0,1,0,1,22,0,0,0.26295944294492407,0
0,1,48,6660000,1,10,0.26,1380000,1740000,0,4,4,1,0,0,1,26,1,1,0.018885446347522424,0
1,0,36,4460000,1,3,0.0,2040000,0,0,5,1,0,1,0,0,12,0,1,0.015340304725125323,0
0,1,37,2850000,4,1,0.27,1120000,770000,0,7,4,1,1,0,0,12,0,0,0.23058943948928026,0
0,1,33,5080000,3,0,0.0,3340000,0,0,0,2,3,0,0,0,13,1,0,0.02186429410178545,0
0,0,62,2610000,3,4,0.0,4440000,0,0,3,2,0,1,0,0,40,0,1,0.2878305170802539,0
1,1,52,5960000,1,3,0.43,3620000,2590000,0,5,1,3,0,0,0,28,0,1,0.12873429114099283,0
1,1,27,5010000,3,0,0.43,320000,2150000,0,0,3,0,1,1,0,6,1,1,0.13615444125915646,0
0,1,33,5770000,3,0,0.0,2230000,0,0,0,3,3,1,0,0,2,1,1,0.019006098099572467,0
1,1,44,5000000,1,10,0.0,3460000,0,0,4,3,0,0,0,1,5,1,1,0.01687366010857793,0
1,1,63,5980000,1,3,0.23,2970000,1370000,0,5,3,0,1,0,1,24,0,1,0.01423457520810558,0
1,1,64,2680000,4,1,0.0,3580000,0,0,7,4,0,0,0,0,10,0,1,0.5521552261067191,0
0,1,29,4690000,1,3,0.0,3790000,0,0,5,4,3,0,0,1,10,1,1,0.011003474860308912,0
0,1,64,3740000,2,8,0.31,4760000,1160000,0,6,1,2,0,0,0,20,0,0,0.06635838421542155,0
1,1,37,4700000,2,8,0.0,4380000,0,0,6,3,0,1,0,1,14,0,1,0.04539377129305118,0
1,1,39,3150000,3,4,0.0,4450000,0,0,3,4,3,1,0,1,9,0,0,0.0257778324773753,0
0,0,62,4740000,1,3,0.43,540000,2030000,0,5,1,0,1,0,1,28,1,1,0.07577526795767549,0
0,1,36,3260000,3,2,0.38,4390000,1240000,0,2,4,3,1,0,1,2,1,0,0.17607636298831028,0
1,1,43,3120000,2,9,0.0,410000,0,0,3,3,1,0,0,1,2,1,1,0.027569528964495334,0
1,0,62,3160000,2,8,0.0,4070000,0,0,6,2,2,1,0,0,20,0,1,0.09185738411534905,0
1,0,26,4390000,3,4,0.46,610000,2000000,0,3,2,1,0,0,1,4,1,0,0.44930996578106575,1
1,0,39,6440000,1,10,0.0,2550000,0,0,4,4,1,0,0,0,9,0,0,0.015975479372388943,0
1,1,62,4270000,2,5,0.0,1300000,0,0,2,2,0,0,0,0,24,1,1,0.017139938894763698,0
1,1,35,2880000,3,4,0.0,590000,0,0,3,3,0,0,0,1,8,0,1,0.054389133119632886,0
0,1,25,4100000,3,2,0.0,2790000,0,0,2,1,0,1,0,1,1,1,1,0.03844934681008301,0
0,1,35,2220000,4,1,0.0,3290000,0,0,7,1,1,0,0,0,13,0,1,0.24791643185817963,0
0,1,26,4420000,2,8,0.36,4730000,1570000,0,6,3,0,1,0,1,2,1,1,0.05400053180634982,0
1,0,32,2570000,3,4,0.0,310000,0,0,3,2,0,0,0,0,6,1,1,0.052332174255178374,0
1,1,43,3880000,2,9,0.43,4940000,1650000,0,3,1,2,0,0,1,25,0,1,0.1915631917507032,0
1,0,44,3990000,4,1,0.08,1820000,300000,0,7,2,3,0,0,0,14,0,0,0.022741803164646582,0
1,1,63,3720000,4,1,0.11,2940000,410000,0,7,2,3,1,0,1,37,0,1,0.03379001572876738,0
1,1,65,2900000,2,9,0.0,3070000,0,0,3,4,0,1,0,0,45,1,0,0.5689215867040143,0
0,1,62,3470000,4,1,0.0,4310000,0,0,7,4,3,0,0,1,22,0,0,0.05528770066376498,0
1,0,63,3530000,3,4,0.26,3890000,930000,0,3,1,0,1,0,0,23,1,0,0.04063178490572101,0
1,1,62,3250000,4,1,0.32,3130000,1050000,1,7,1,1,0,0,0,28,1,0,0.893503517890006,1
0,1,64,3080000,4,1,0.47,4580000,1450000,0,7,2,0,0,0,1,14,1,0,0.12994726529002265,0
0,1,61,6340000,1,3,0.1,2350000,620000,0,5,2,2,1,0,1,39,1,0,0.01788581329465803,0
0,1,32,3340000,2,9,0.49,1080000,1630000,0,3,4,3,0,0,1,3,0,1,0.3199818903715385,0
0,1,64,2880000,3,4,0.11,4450000,310000,0,3,4,1,1,0,1,42,1,0,0.48792708663799206,0
1,0,44,4740000,2,5,0.38,1480000,1810000,0,2,3,0,0,0,1,8,1,0,0.07246449196807848,0
1,1,61,5860000,3,0,0.48,2410000,2790000,0,0,2,2,0,0,0,41,1,1,0.46486226918097456,0
0,1,48,4920000,3,2,0.0,4740000,0,0,2,1,3,1,0,0,10,0,0,0.018246031643828865,0
0,0,28,4760000,3,4,0.25,2950000,1190000,0,3,1,3,1,0,0,7,1,0,0.021083982235278898,0
1,1,27,2540000,3,2,0.09,920000,240000,0,2,3,1,1,0,0,5,0,1,0.0809438181565208,1
1,1,61,2910000,2,8,0.12,3640000,340000,0,6,2,0,0,0,0,2,1,0,0.39540743206859946,0
0,1,54,2880000,4,1,0.0,4760000,0,0,7,2,0,0,0,1,29,0,1,0.4276947209252128,0
0,1,62,3180000,2,5,0.36,1070000,1140000,0,2,3,1,0,1,0,19,0,1,0.11709173909910443,0
1,1,46,3200000,3,2,0.3,1370000,960000,0,2,4,3,0,0,1,20,0,0,0.11232147710774316,0
1,1,61,3710000,4,1,0.0,1600000,0,0,7,4,1,0,0,0,35,1,1,0.04596262835115719,0
0,1,52,2120000,4,6,0.07,410000,140000,0,2,2,3,1,0,1,20,0,1,0.27986466717432334,0
0,1,26,6260000,3,0,0.16,3060000,1020000,0,0,1,0,0,0,1,0,0,0,0.050183068367166385,0
1,1,34,6660000,1,3,0.0,490000,0,0,5,3,3,1,0,0,14,0,1,0.01373873212125262,0
0,1,54,3060000,2,5,0.26,4570000,790000,0,2,4,0,0,0,1,14,1,0,0.02671295374676427,0
0,0,54,3590000,4,1,0.28,4650000,1020000,0,7,4,0,1,0,1,5,1,1,0.04653783119661023,0
1,1,30,3580000,4,1,0.0,2080000,0,0,7,3,0,0,0,1,4,1,0,0.04724272780071349,0
0,0,57,7950000,3,0,0.0,2180000,0,0,0,2,2,0,0,1,20,1,1,0.016217877292786245,0
1,1,60,4130000,1,10,0.0,2200000,0,0,4,4,2,0,0,0,21,1,0,0.02169298208596523,0
1,0,30,3770000,2,5,0.0,2920000,0,0,2,3,3,0,0,0,7,1,0,0.02047056580707156,0
0,1,50,4550000,3,4,0.31,4580000,1420000,0,3,3,2,1,0,0,28,0,0,0.1416614441670477,0
1,1,33,2900000,4,1,0.19,4960000,550000,0,7,3,1,1,0,1,8,0,0,0.07406845365090371,0
1,0,63,3250000,4,1,0.0,4900000,0,0,7,3,3,1,0,1,34,1,1,0.01709495139511177,0
0,1,53,3110000,4,1,0.39,500000,1210000,0,7,2,0,0,0,0,15,0,0,0.057487091149581664,0
1,0,29,3860000,4,1,0.0,1470000,0,0,7,2,0,0,0,0,3,0,1,0.03882029998968557,0
0,0,57,3880000,2,5,0.09,4910000,340000,0,2,2,0,0,0,1,4,1,0,0.015795245216374626,0
1,1,46,5390000,1,3,0.0,2270000,0,0,5,4,0,0,1,0,9,1,0,0.019917021120117954,0
0,0,44,2360000,4,1,0.0,1520000,0,0,7,3,3,0,0,0,20,0,0,0.1755299968526295,1
1,1,49,2460000,4,1,0.45,1360000,1100000,0,7,3,0,1,0,1,10,1,1,0.40966728508837924,0
1,1,30,3150000,3,4,0.09,3510000,280000,0,3,4,0,0,0,0,5,0,0,0.03842240467965563,0
1,0,34,3270000,3,2,0.0,2050000,0,0,2,3,1,0,0,0,14,1,0,0.018098101743050862,0
0,0,62,3360000,2,9,0.43,3930000,1440000,0,3,4,2,1,0,0,43,0,0,0.23084013713853715,0
0,1,56,4750000,3,0,0.09,2600000,430000,0,0,3,2,1,0,1,35,0,1,0.020270774096625022,0
0,0,61,4640000,3,2,0.0,300000,0,0,2,2,0,1,0,0,39,1,1,0.01621767558928937,0
1,0,40,6300000,1,3,0.28,4930000,1760000,0,5,4,0,0,0,0,9,1,0,0.011949174021255378,0
1,1,34,3480000,4,1,0.44,3990000,1520000,0,7,4,3,0,0,1,14,0,1,0.09354277062790609,1
1,1,50,3030000,4,1,0.0,3200000,0,0,7,3,1,0,0,1,1,1,1,0.11018791735382458,0
1,1,43,7530000,3,0,0.0,3220000,0,0,0,4,3,0,0,1,3,1,0,0.017636915280873678,0
0,1,29,4410000,3,0,0.4,2060000,1750000,0,0,3,1,0,0,0,11,1,0,0.10018098179050064,0
1,0,41,5170000,1,3,0.0,1470000,0,0,5,4,3,1,1,0,21,0,1,0.01700955428115536,0
1,1,26,6040000,3,0,0.44,1870000,2630000,0,0,1,1,0,0,0,0,0,0,0.1670512309326533,0
0,1,63,6250000,1,3,0.21,4520000,1300000,0,5,1,0,0,0,0,35,0,1,0.02864747810407094,0
0,0,46,4230000,3,2,0.0,2620000,0,0,2,3,2,1,0,1,9,1,0,0.014974587343167072,0
0,1,51,3770000,3,2,0.32,4030000,1200000,0,2,3,3,1,0,0,21,0,0,0.2657780898052456,0
0,1,30,330000,5,7,0.3,1010000,100000,0,1,2,3,1,0,1,3,1,0,0.19391165640841673,0
0,1,29,7000000,1,10,0.0,4660000,0,0,4,1,1,0,0,1,1,0,1,0.03023834195101509,0
1,1,52,4760000,2,9,0.45,2930000,2120000,0,3,3,3,1,0,1,24,1,1,0.3089172255914839,0
0,1,30,4500000,3,2,0.0,3730000,0,0,2,1,1,1,0,1,1,0,1,0.020408986478251838,0
0,0,35,4990000,2,9,0.13,730000,650000,0,3,4,2,1,0,0,1,1,1,0.019741582748960856,0
0,0,35,3230000,4,1,0.45,4770000,1460000,0,7,3,0,0,0,1,15,0,0,0.11830627077607749,0
0,0,34,3970000,2,5,0.18,3510000,710000,0,2,3,0,1,0,1,14,1,1,0.024915919319162327,0
0,1,36,4280000,3,2,0.17,1470000,720000,0,2,2,2,1,0,0,15,0,1,0.031081874817116214,0
0,0,43,3140000,4,1,0.0,1090000,0,0,7,4,0,0,0,1,0,0,1,0.037917743602698915,0
1,1,30,4420000,3,0,0.0,980000,0,0,0,1,2,1,0,1,12,1,1,0.015415710302658198,0
1,0,51,4690000,2,9,0.16,4340000,730000,0,3,2,2,1,0,0,17,0,0,0.0798951338070649,0
1,1,57,3050000,3,2,0.07,1240000,210000,0,2,3,1,1,0,1,10,0,0,0.021175090793316958,0
0,0,52,3770000,2,5,0.46,3750000,1730000,0,2,1,0,0,1,1,4,1,0,0.3444311318182354,0
0,1,34,2650000,2,9,0.0,1580000,0,0,3,1,1,0,0,1,4,0,1,0.08109943847901985,0
0,1,43,4500000,3,0,0.26,1370000,1180000,0,0,2,2,0,0,0,22,0,1,0.029911926457963815,0
1,0,34,5250000,1,3,0.1,1960000,510000,0,5,3,2,0,0,0,7,1,1,0.01236868029151709,0
0,1,61,4990000,3,0,0.07,2020000,340000,0,0,2,1,0,1,0,36,1,1,0.01914063307218145,0
1,0,50,2550000,2,9,0.0,4700000,0,0,3,3,3,1,0,1,29,1,0,0.14248598472551186,0
0,1,49,5190000,3,0,0.21,3450000,1070000,0,0,3,0,0,0,0,22,0,0,0.05086017100827045,0
0,0,55,4650000,2,9,0.44,2730000,2040000,0,3,4,2,1,0,1,36,1,1,0.24210452177734593,0
0,0,29,3330000,3,2,0.27,2890000,910000,0,2,1,0,0,0,0,3,1,0,0.0293907353954203,0
0,1,65,2930000,2,5,0.0,1590000,0,0,2,2,0,1,0,1,16,0,1,0.2030699899780196,0
0,1,32,2980000,2,9,0.0,1930000,0,0,3,3,3,0,0,0,2,0,1,0.18724795817575463,0
1,1,40,4530000,2,9,0.31,2530000,1400000,0,3,1,0,1,0,1,14,0,0,0.1319961911036468,0
0,0,64,3350000,3,2,0.24,2260000,820000,0,2,1,1,1,0,1,4,1,0,0.026210984323182997,0
0,1,63,3070000,2,5,0.5,2660000,1530000,0,2,1,0,0,0,0,27,0,0,0.407213355164332,0
0,0,50,3020000,4,1,0.34,860000,1020000,0,7,4,1,1,0,1,30,0,1,0.2239770673806246,0
0,1,45,3820000,2,8,0.41,2160000,1560000,0,6,4,2,1,0,0,26,1,1,0.0656634230297418,0
0,1,48,3860000,3,2,0.0,2760000,0,0,2,2,3,1,0,1,10,1,0,0.028763423397598197,0
1,1,60,6320000,3,0,0.19,1030000,1170000,0,0,1,3,0,0,0,29,1,0,0.01865493059686077,0
0,0,25,3030000,2,9,0.0,3610000,0,0,3,1,2,1,0,1,2,1,0,0.03033105593685718,0
0,1,52,5820000,1,3,0.1,860000,560000,0,5,1,3,0,0,0,29,0,0,0.01773972534340867,0
1,1,31,3660000,3,2,0.08,4170000,310000,0,2,1,1,1,0,1,12,0,1,0.06807538956317824,0
0,1,39,2720000,2,9,0.18,2810000,490000,0,3,3,2,0,0,0,7,0,0,0.6956146127757106,0
1,1,53,2580000,4,1,0.23,4840000,590000,0,7,4,3,1,0,1,16,0,1,0.192121270925265,0
1,0,47,3740000,3,4,0.22,3140000,810000,0,3,2,0,0,0,0,6,1,0,0.05104709757902297,0
1,1,40,4160000,1,10,0.41,3360000,1690000,0,4,3,1,0,0,0,4,0,0,0.3739496910192074,0
1,1,61,2010000,4,1,0.0,1870000,0,0,7,2,3,1,0,0,29,1,1,0.32594333791153807,0
0,1,60,6870000,1,10,0.0,890000,0,0,4,4,2,1,0,1,37,0,0,0.016136150543335365,0
0,1,32,3790000,4,1,0.0,1170000,0,0,7,2,1,1,0,1,11,0,1,0.02697719678250572,0
1,1,40,2910000,3,2,0.0,860000,0,0,2,4,3,0,0,1,21,0,0,0.13342561697703473,0
1,1,28,4720000,1,3,0.39,4910000,1830000,0,5,1,0,1,0,0,6,0,1,0.04463540432621487,0
0,1,52,3300000,3,2,0.0,2610000,0,0,2,1,0,1,0,0,33,0,1,0.03378735802785223,0
1,1,60,4080000,2,8,0.47,3880000,1900000,0,6,4,1,0,0,0,19,1,1,0.049594082858198434,0
1,0,49,3310000,2,8,0.41,2350000,1350000,0,6,2,0,1,0,1,10,1,1,0.1236260376395389,0
1,0,65,4340000,2,9,0.0,2730000,0,0,3,3,2,0,1,0,44,0,1,0.03385026896786474,0
1,0,40,2890000,4,1,0.0,4870000,0,0,7,1,3,1,0,0,9,0,1,0.1603814552629527,0
0,1,49,2960000,4,1,0.13,310000,390000,0,7,1,3,0,0,0,0,0,0,0.15528200871753742,1
1,1,30,2570000,4,1,0.29,2690000,740000,0,7,1,3,1,0,1,12,0,0,0.10124182420917299,0
0,1,65,6720000,1,3,0.34,4170000,2300000,0,5,1,3,0,0,1,46,0,0,0.08145618894664779,0
